01/06/2016: T:	 25.877068, H:	 40, M:	 0, P:	 Inside
01/06/2016: T:	 17.622648, H:	 45, M:	 0, P:	 Outside
02/06/2016: T:	 26.949627, H:	 37, M:	 0, P:	 Inside
02/06/2016: T:	 20.409336, H:	 32, M:	 0, P:	 Outside
03/06/2016: T:	 26.256226, H:	 35, M:	 0, P:	 Inside
03/06/2016: T:	 17.858866, H:	 27, M:	 0, P:	 Outside
04/06/2016: T:	 25.338764, H:	 24, M:	 0, P:	 Inside
04/06/2016: T:	 12.477276, H:	 26, M:	 0, P:	 Outside
05/06/2016: T:	 24.686943, H:	 20, M:	 0, P:	 Inside
05/06/2016: T:	 10.48557, H:	 14, M:	 0, P:	 Outside
06/06/2016: T:	 17.28242, H:	 22, M:	 0, P:	 Outside
06/06/2016: T:	 24.5053, H:	 18, M:	 0, P:	 Inside
07/06/2016: T:	 25.504631, H:	 27, M:	 0, P:	 Inside
07/06/2016: T:	 25.400002, H:	 28, M:	 0, P:	 Outside
08/06/2016: T:	 24.257011, H:	 14, M:	 0, P:	 Inside
08/06/2016: T:	 15.11862, H:	 15, M:	 0, P:	 Outside
09/06/2016: T:	 24.276672, H:	 17, M:	 0, P:	 Inside
09/06/2016: T:	 13.039707, H:	 37, M:	 0, P:	 Outside
10/06/2016: T:	 24.345556, H:	 19, M:	 0, P:	 Inside
10/06/2016: T:	 7.568029, H:	 65, M:	 0, P:	 Outside
11/06/2016: T:	 22.526852, H:	 16, M:	 0, P:	 Inside
11/06/2016: T:	 10.418864, H:	 44, M:	 0, P:	 Outside
12/06/2016: T:	 23.302053, H:	 22, M:	 0, P:	 Inside
12/06/2016: T:	 13.008314, H:	 46, M:	 0, P:	 Outside
13/06/2016: T:	 20.998558, H:	 24, M:	 0, P:	 Outside
13/06/2016: T:	 24.542515, H:	 22, M:	 0, P:	 Inside
16/06/2016: T:	 23.711594, H:	 41, M:	 0, P:	 Inside
16/06/2016: T:	 14.430257, H:	 78, M:	 0, P:	 Outside
17/06/2016: T:	 24.645851, H:	 38, M:	 0, P:	 Inside
17/06/2016: T:	 16.752092, H:	 64, M:	 0, P:	 Outside
18/06/2016: T:	 24.134323, H:	 36, M:	 0, P:	 Inside
18/06/2016: T:	 13.04077, H:	 95, M:	 13.4359455, P:	 Outside
19/06/2016: T:	 24.27091, H:	 35, M:	 0, P:	 Inside
19/06/2016: T:	 16.091753, H:	 69, M:	 0, P:	 Outside
20/06/2016: T:	 24.2, H:	 35, M:	 0, P:	 Inside
20/06/2016: T:	 15.055, H:	 69, M:	 0, P:	 Outside
28/07/2016: T:	 19.430775, H:	 66, M:	 0, P:	 Outside
28/07/2016: T:	 25.711758, H:	 47, M:	 0, P:	 Inside
29/07/2016: T:	 20.250698, H:	 56, M:	 0, P:	 Outside
29/07/2016: T:	 26.443123, H:	 42, M:	 0, P:	 Inside
30/07/2016: T:	 19.100525, H:	 65, M:	 0, P:	 Outside
30/07/2016: T:	 26.669773, H:	 42, M:	 0, P:	 Inside
31/07/2016: T:	 19.279139, H:	 38, M:	 0, P:	 Outside
31/07/2016: T:	 25.842747, H:	 30, M:	 0, P:	 Inside
01/08/2016: T:	 19.016964, H:	 41, M:	 0, P:	 Outside
01/08/2016: T:	 25.422722, H:	 33, M:	 0, P:	 Inside
02/08/2016: T:	 17.336142, H:	 51, M:	 0, P:	 Outside
02/08/2016: T:	 25.228046, H:	 34, M:	 0, P:	 Inside
